ALPHAPK,GRAD_YR,STATUS,BLUECHIP,CIS_STD,HIS_STD,TIS_STD,ATH_ECA,COMB_ECA,CAQPR,CMQPR,ETHNICITY,MINORITY,FEEDER_C,GENDER_C,MAJOR_C,MAJ_GRP,OOM,SAT_M,SAT_V,SERV_ASN,COMM_C,DEANS_LST,DANT_LST,SUPE_LST,VARSITY
6,2000,40,101,474,557,443,490,435,3.51,3.49,101,0,101,101,101,3,126,680,660,20,101,101,101,101,101
12,2000,40,102,655,516,484,9999,690,3.23,3.29,101,0,102,101,102,3,245,590,530,20,101,102,102,102,101
18,2000,30,101,496,730,270,9999,410,1.89,1.83,102,1,102,102,103,101,0,590,560,99,102,102,101,101,101
24,2000,40,101,400,614,385,590,620,3.08,3.45,101,0,103,101,104,1,288,690,635,30,101,102,102,101,101
30,2000,40,101,624,318,681,570,495,3.74,3.66,101,0,101,101,105,1,47,720,590,20,101,102,102,102,101
36,2000,40,102,517,335,665,9999,505,3.36,3.16,101,0,102,101,106,2,213,560,540,29,101,101,101,101,102
42,2000,30,101,347,327,673,550,595,0,0,101,0,101,101,107,0,0,710,580,99,102,102,101,101,101
48,2000,40,101,506,573,427,430,465,2.86,3.06,103,1,101,101,108,2,508,775,685,30,101,102,101,101,101
54,2000,40,101,549,433,566,560,445,3.05,3.43,104,1,101,101,109,3,325,610,660,20,101,102,102,101,101
60,2000,40,101,488,507,492,300,554,3.96,3.43,101,0,101,101,110,1,32,650,500,2,103,102,102,102,101
63,2000,40,101,474,458,542,300,400,3.23,2.97,101,0,103,101,108,2,381,625,605,20,101,102,101,101,101
66,2000,40,101,464,450,550,9999,455,2.28,2.87,104,1,102,101,109,3,835,550,520,21,101,102,101,101,101
72,2000,40,101,602,409,591,530,495,2.84,3.08,101,0,101,101,111,2,511,730,610,50,104,102,101,101,101
78,2000,40,101,389,754,246,430,535,3.56,3.32,101,0,101,102,102,3,148,690,805,20,101,101,101,101,101
84,2000,40,102,506,442,558,560,450,2.64,3.07,101,0,101,101,102,3,611,620,610,40,101,102,101,101,102
90,2000,40,101,592,343,657,660,600,2.05,2.65,101,0,101,101,112,2,938,625,655,20,101,102,101,101,101
96,2000,40,101,379,656,344,9999,625,3.58,3.52,101,0,104,101,113,1,111,645,635,50,104,101,102,101,101
102,2000,30,101,549,606,394,9999,490,2.38,2.59,101,0,102,102,114,2,0,570,600,99,102,102,101,101,101
114,2000,40,101,261,721,278,430,505,3.73,3.22,101,0,101,101,115,3,133,640,760,10,101,101,101,101,101
120,2000,40,101,517,623,377,410,465,3.22,2.98,101,0,103,101,116,2,346,600,660,29,101,102,101,101,102
126,2000,40,101,421,499,501,720,630,3.21,3.36,101,0,101,101,102,3,270,720,690,20,101,102,101,101,101
132,2000,40,101,570,639,361,680,740,3.52,3.4,102,1,101,101,102,3,145,730,770,35,101,101,101,101,102
